Date,ESGU,ESGD,SUSA,ICLN,QCLN,SPY,QQQ,VTI,AGG,VWO
2018-01-02,52.10206985473633,54.67403793334961,49.91267395019531,8.423617362976074,19.77471351623535,236.56211853027344,150.22213745117188,121.46034240722656,86.13546752929688,36.59663391113281
2018-01-03,52.547691345214844,55.026668548583984,50.217044830322266,8.405808448791504,19.860563278198242,238.05836486816406,151.68182373046875,122.16337585449219,86.14340209960938,36.94926452636719
2018-01-04,52.823974609375,55.659793853759766,50.47217559814453,8.343475341796875,19.889184951782227,239.0618896484375,151.94723510742188,122.62906646728516,86.08812713623047,37.17652130126953
2018-01-05,53.064613342285156,55.98037338256836,50.82131576538086,8.370187759399414,20.0131893157959,240.6549530029297,153.4732208251953,123.34966278076172,86.0329360961914,37.50566482543945
2018-01-08,53.22770690917969,55.876983642578125,51.07196807861328,8.494851112365723,20.356599807739258,241.09500122070312,154.07037353515625,123.63088989257812,86.00923919677734,37.51349639892578
2018-01-09,53.483482360839844,55.96353530883789,51.15253829956055,8.477042198181152,19.93687629699707,241.6407470703125,154.07981872558594,123.85931396484375,85.77252960205078,37.50566482543945
2018-01-10,53.082435607910156,55.876182556152344,50.93320846557617,8.459233283996582,19.77471351623535,241.27105712890625,153.7196502685547,123.66603088378906,85.77252960205078,37.34109878540039
2018-01-11,53.387245178222656,56.1542854309082,51.26443099975586,8.628417015075684,20.28028106689453,243.0313720703125,154.77171325683594,124.71172332763672,85.81195831298828,37.584022521972656
2018-01-12,53.95585632324219,56.72250747680664,51.72099685668945,8.601702690124512,20.25167465209961,244.61566162109375,155.90914916992188,125.44110107421875,85.79622650146484,37.98369598388672
2018-01-16,53.898807525634766,56.672813415527344,51.5643424987793,8.566085815429688,20.127662658691406,243.77955627441406,155.46363830566406,124.88743591308594,85.81990051269531,37.795616149902344
2018-01-17,54.397010803222656,57.10238265991211,52.11041259765625,8.619514465332031,20.423372268676758,246.1030731201172,157.1413116455078,126.03862762451172,85.72517395019531,38.32849884033203
2018-01-18,54.374732971191406,56.88600540161133,51.94927978515625,8.557183265686035,20.394756317138672,245.68951416015625,157.16978454589844,125.81892395019531,85.53582763671875,38.39118576049805
2018-01-19,54.37652587890625,57.15047073364258,52.316314697265625,8.574991226196289,20.55692481994629,246.8073272705078,157.66261291503906,126.4692611694336,85.3543472290039,38.751670837402344
2018-01-22,54.84709930419922,57.43097686767578,52.768394470214844,8.574991226196289,20.528303146362305,248.8140869140625,159.34976196289062,127.47097778320312,85.32282257080078,39.065120697021484
2018-01-23,55.052093505859375,57.67060089111328,52.84000778198242,8.54827880859375,20.471067428588867,249.34222412109375,160.66725158691406,127.7873306274414,85.52793884277344,39.20619201660156
2018-01-24,55.07881164550781,57.84772491455078,52.7504997253418,8.512660026550293,20.25167465209961,249.2453155517578,159.6246337890625,127.66431427001953,85.44116973876953,39.56666946411133
2018-01-25,55.07881164550781,57.599273681640625,52.799739837646484,8.539373397827148,19.994115829467773,249.35096740722656,159.5677490234375,127.717041015625,85.66207885742188,39.42560577392578
2018-01-26,55.738346099853516,58.09616470336914,53.34133529663086,8.539373397827148,20.2707462310791,252.23789978027344,162.01316833496094,129.05276489257812,85.50431823730469,39.950653076171875
2018-01-29,55.62248611450195,57.54799270629883,53.04143524169922,8.512660026550293,20.099040985107422,250.56553649902344,161.22647094726562,128.2091064453125,85.3543472290039,39.32374572753906
2018-01-30,54.87383270263672,57.18172836303711,52.51774215698242,8.512660026550293,19.860563278198242,247.99549865722656,159.89952087402344,126.8734359741211,85.22027587890625,38.82220458984375
2018-01-31,54.94512939453125,57.06230545043945,52.48192596435547,8.521564483642578,19.793790817260742,248.11880493164062,160.56301879882812,126.91735076904297,85.2912368774414,39.05729293823242
2018-02-01,54.864925384521484,57.21458435058594,52.387935638427734,8.477042198181152,19.66024398803711,247.837158203125,159.19813537597656,126.86466979980469,85.02393341064453,38.6889762878418
2018-02-02,53.67510223388672,55.97235107421875,51.26443099975586,8.290048599243164,19.221445083618164,242.44163513183594,156.0228729248047,124.16691589355469,84.77091217041016,37.819129943847656
2018-02-05,51.69209671020508,53.63214874267578,49.397918701171875,8.031820297241211,18.391530990600586,232.30213928222656,149.87144470214844,119.28106689453125,85.11095428466797,36.604454040527344
2018-02-06,51.466609954833984,54.78623580932617,49.850006103515625,8.103057861328125,18.553699493408203,236.8790740966797,153.84288024902344,121.23188781738281,84.8658218383789,37.51349639892578
2018-02-07,52.64483642578125,54.1130256652832,49.87238311767578,8.05853271484375,18.448768615722656,235.59393310546875,151.85238647460938,120.69583892822266,84.67601776123047,36.447731018066406
2018-02-08,51.1930046081543,52.750579833984375,48.2072868347168,7.844826698303223,17.84779930114746,226.75711059570312,145.44500732421875,116.35485076904297,84.53366088867188,35.23306655883789
2018-02-09,50.50674819946289,53.12724685668945,48.80708694458008,7.880444526672363,18.00042152404785,230.16336059570312,147.95684814453125,117.95416259765625,84.42300415039062,35.76594924926758
2018-02-12,51.9149055480957,53.7603874206543,49.43373489379883,8.02291488647461,18.28660011291504,233.54324340820312,150.58233642578125,119.52711486816406,84.44670104980469,36.25966262817383
2018-02-13,51.77677536010742,53.648197174072266,49.505340576171875,8.129767417907715,18.43922996520996,234.1240997314453,151.35955810546875,119.9050064086914,84.47042846679688,36.54176712036133
2018-02-14,52.52987289428711,54.61952590942383,50.19466018676758,8.23662281036377,18.82079315185547,237.28392028808594,154.1935577392578,121.58336639404297,84.18576049804688,37.29407501220703
2018-02-15,52.9656867980957,54.994606018066406,50.71388626098633,8.414711952209473,19.183286666870117,240.3116912841797,157.0560760498047,123.06846618652344,84.28854370117188,37.99152374267578
2018-02-16,53.158180236816406,55.27109909057617,50.91529846191406,8.450329780578613,19.164199829101562,240.38206481933594,156.35464477539062,123.1212158203125,84.45462799072266,37.8504753112793
2018-02-20,53.118072509765625,54.7381477355957,50.69598388671875,8.414711952209473,19.27867317199707,238.87701416015625,156.66741943359375,122.383056640625,84.36762237548828,37.51349639892578
